brand,brand_replies,customer_brand_pairs,pair_rate_pct,unique_customer_messages,duplicate_reply_pct,pct_account_specific,pct_self_service,pct_mixed,pct_unclear,date_start,date_end
AmazonHelp,169840,154976,91.2,154976,0.0,20.8,6.6,2.9,69.6,2015-06-13 02:16:59+00:00,2017-12-03 23:13:02+00:00
AppleSupport,106860,106623,99.8,106623,0.1,4.5,36.4,2.0,57.0,2016-03-03 13:00:08+00:00,2017-12-03 23:12:28+00:00
Uber_Support,56270,55182,98.1,55182,0.1,31.4,7.9,5.1,55.6,2014-12-20 00:00:42+00:00,2017-12-03 22:58:03+00:00
SpotifyCares,43265,41585,96.1,41585,0.0,14.7,12.9,4.6,67.8,2013-09-18 19:23:17+00:00,2017-12-03 22:56:04+00:00
comcastcares,33031,30369,91.9,30369,0.0,6.9,14.3,1.4,77.4,2015-11-07 20:53:45+00:00,2017-12-03 22:55:50+00:00
AirAsiaSupport,12829,10740,83.7,10740,0.3,32.4,5.4,4.9,57.4,2013-12-18 03:13:40+00:00,2017-12-03 23:01:59+00:00
